,cc,level,category,test,data
350,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '193.0.9.71'}
351,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '192.134.0.49'}
352,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '213.179.160.66'}
353,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '196.216.168.36'}
354,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '193.194.64.242'}
355,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '204.61.216.103'}
356,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:67c:e0::71'}
357,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:660:3006:1::1:1'}
358,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:43f8:120::36'}
359,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:4340:1030:2::2'}
360,DZ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:500:14:6103:ad::1'}
361,DZ,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '196.216.168.36'}
362,DZ,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2001:43f8:120::36'}
363,DZ,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '193.194.64.242'}
364,DZ,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2001:4340:1030:2::2'}
365,DZ,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '213.179.160.66'}
